Date,Name,Oponnent,R1_Head_Attempts,R1_Head_Landed,R1_Body_Attempts,R1_Body_Landed,R1_Leg_Attempts,R1_Leg_Laneded,R1_Distance_Attempts,R1_Distance_Landed,R1_Clinch_Attemtps,R1_Clinch_Landed,R1_Ground_Attempts,R1_Ground_Landed,R2_Head_Attempts,R2_Head_Landed,R2_Body_Attempts,R2_Body_Landed,R2_Leg_Attempts,R2_Leg_Laneded,R2_Distance_Attempts,R2_Distance_Landed,R2_Clinch_Attemtps,R2_Clinch_Landed,R2_Ground_Attempts,R2_Ground_Landed,R3_Head_Attempts,R3_Head_Landed,R3_Body_Attempts,R3_Body_Landed,R3_Leg_Attempts,R3_Leg_Laneded,R3_Distance_Attempts,R3_Distance_Landed,R3_Clinch_Attemtps,R3_Clinch_Landed,R3_Ground_Attempts,R3_Ground_Landed,R4_Head_Attempts,R4_Head_Landed,R4_Body_Attempts,R4_Body_Landed,R4_Leg_Attempts,R4_Leg_Laneded,R4_Distance_Attempts,R4_Distance_Landed,R4_Clinch_Attemtps,R4_Clinch_Landed,R4_Ground_Attempts,R4_Ground_Landed,R5_Head_Attempts,R5_Head_Landed,R5_Body_Attempts,R5_Body_Landed,R5_Leg_Attempts,R5_Leg_Laneded,R5_Distance_Attempts,R5_Distance_Landed,R5_Clinch_Attemtps,R5_Clinch_Landed,R5_Ground_Attempts,R5_Ground_Landed
4/13/2019,Max Holloway,Dustin Poirier,69,28,2,2,1,0,71,30,1,0,0,0,68,20,21,12,0,0,89,32,0,0,0,0,102,44,8,8,1,1,103,45,8,8,0,0,78,32,11,10,0,0,81,38,8,4,0,0,77,17,8,7,0,0,81,22,4,2,0,0
4/13/2019,Dustin Poirier,Max Holloway,105,46,8,6,2,2,105,45,10,9,0,0,70,29,2,1,2,1,74,31,0,0,0,0,61,27,5,4,2,2,67,32,1,1,0,0,58,29,5,4,1,1,60,31,4,3,0,0,55,22,4,3,1,1,59,26,1,0,0,0
4/13/2019,Israel Adesanya,Kelvin Gastelum,22,4,6,3,4,3,32,10,0,0,0,0,48,16,7,6,7,7,61,28,0,0,1,1,29,7,6,4,8,5,41,16,0,0,0,0,38,11,3,2,4,4,44,16,1,1,0,0,49,32,1,1,7,4,47,30,0,0,10,7
4/13/2019,Kelvin Gastelum,Israel Adesanya,28,8,4,3,1,1,33,12,0,0,0,0,42,18,2,2,0,0,44,20,0,0,0,0,28,7,3,2,4,3,35,12,0,0,0,0,60,24,5,4,4,4,68,32,1,0,0,0,33,11,2,1,4,3,39,15,0,0,0,0
4/13/2019,Eryk Anders,Khalil Rountree Jr.,12,2,2,1,0,0,13,3,1,0,0,0,13,1,2,1,0,0,15,2,0,0,0,0,37,9,3,2,0,0,40,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/2019,Khalil Rountree Jr.,Eryk Anders,16,3,9,6,17,15,42,24,0,0,0,0,36,13,6,5,12,7,42,21,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/2019,Alan Jouban,Dwight Grant,26,1,2,1,3,3,29,5,2,0,0,0,20,3,2,1,5,5,25,8,2,1,0,0,31,5,2,1,9,4,35,6,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/2019,Dwight Grant,Alan Jouban,28,5,2,1,5,4,34,9,1,1,0,0,23,4,4,1,10,8,37,13,0,0,0,0,37,4,2,2,11,9,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/2019,Saint Preux,Nikita Krylov,5,2,0,0,0,0,3,1,0,0,2,1,1,1,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/2019,Nikita Krylov,Saint Preux,16,6,7,4,4,4,23,12,4,2,0,0,11,9,4,3,2,1,9,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
